No.,종목명,기준,시장,자산총계,자본금,자본총계,매출액,영업이익,순이익
1,삼성전자,202312,유,296857289,897514,224787774,170374090,-11526297,25397099
2,기아,202312,유,51988692,2139317,32683918,58519958,6305665,8023991
3,현대차,202312,유,85064635,1488993,60787169,78033758,6670971,7343003
4,기업은행,202312,유,412695280,4211365,29484452,16827179,3141265,2411475
5,KB금융,202312,유,29528898,2090558,25042075,35127,2132395,2121244
6,현대모비스,202312,유,35577102,491096,27211953,38970304,1161687,1814899
7,삼성화재,202312,유,83617400,26473,15905175,16457977,2376225,1755374
8,하나금융지주,202312,유,24941617,1501210,19068375,5209,1714108,1690855
9,신한지주,202312,유,37289555,2969641,26099141,93504,1706640,1671011
10,삼성물산,202312,유,47037554,18722,30747590,24473670,991681,1568192
11,DB손해보험,202312,유,48513528,35400,8675550,14049927,2016763,1536746
12,우리금융지주,202312,유,25786022,3802676,24000998,64592,1424670,1424508
13,NAVER,202312,유,15479991,16481,11450826,5609799,1713205,1414313
14,삼성생명,202312,유,279474086,100000,37527725,9844427,1424835,1382902
15,한국금융지주,202312,유,9730678,307921,6282004,39620,1148892,1149760
16,SK이노베이션,202312,유,21362775,509520,18219710,2489430,1235472,1110484
17,SK텔레콤,202312,유,24995932,30493,10436093,12589220,1455870,1059750
18,HMM,202312,유,25439622,3445197,21404396,8230446,564751,1025410
19,LG전자,202312,유,31747553,904169,10515547,28868279,576755,1004096
20,삼성바이오로직스,202312,유,11831261,177935,8238634,2938756,1204188,945920
21,S-Oil,202312,유,21498548,291512,9025125,35251031,1350825,943834
22,KT,202312,유,30308919,1564499,15043539,18371437,1185392,933337
23,대한항공,202312,유,29227148,1846657,9674824,14575109,1586894,916780
24,GS,202312,유,6934380,473501,6197061,1004792,918375,877329
25,현대글로비스,202312,유,11999840,18750,6497509,19499951,1056521,849884
26,삼성SDI,202312,유,19529981,356712,13397013,19799056,588354,821182
27,현대해상,202312,유,43758462,44700,6117131,13182845,1026368,805722
28,KT&G,202312,유,10373921,954959,7832525,3586696,931743,804855
29,POSCO홀딩스,202312,유,51646198,482403,47499865,1454079,1106629,799578
30,HD현대,202312,유,9122274,81433,5929776,583102,487637,773086
31,크래프톤,202312,유,6334072,4924,5592036,1838446,811620,728077
32,LG,202312,유,10000583,801613,9616683,1030586,751375,718374
33,대신증권,202312,유,15123788,434867,2853195,1048193,682177,685511
34,한국타이어앤테크놀로지,202312,유,6568577,61938,5471483,3024974,24400,671690
35,한화에어로스페이스,202312,유,14160833,265650,3144285,4978993,519098,648960
36,LG유플러스,202312,유,19045211,2573969,8482974,13238551,987159,646301
37,삼성E&A,202312,유,5111062,980000,2306770,6232901,438471,633492
38,포스코인터내셔널,202312,유,12565027,879614,5394884,28536917,951029,632519
39,한화생명,202312,유,114793102,4342650,11387118,4620054,666085,616262
40,삼성카드,202312,유,28583989,614794,8127313,2710726,807648,606850
41,고려아연,202312,유,10177696,104543,8790527,7291069,707392,585595
42,셀트리온,202312,유,19271182,220291,17040573,1873430,638489,563268
43,KCC,202312,유,9657273,48085,5358286,2999517,345283,540829
44,삼성증권,202312,유,50946382,458478,6337650,1495388,662025,483479
45,OCI홀딩스,202312,유,2257457,107064,2179209,226039,200637,483072
46,HD현대인프라코어,202312,유,3855346,199603,1751795,4241475,392027,458768
47,NH투자증권,202312,유,53453943,1782560,7106553,1563963,689933,434998
48,F&F,202312,유,1761641,3831,1268371,1693671,527087,415331
49,삼성에스디에스,202312,유,7660443,38689,6127982,5166839,351192,409509
50,LG생활건강,202312,유,5057410,88589,4438155,3500214,217117,389709
51,현대건설,202312,유,14948565,562052,6689929,15778844,340527,372127
52,SK가스,202312,유,5034185,46151,2362882,5290044,318426,370019
53,LG이노텍,202312,유,9964207,118336,3801658,20209273,537049,364595
54,현대제철,202312,유,32449677,667229,18828936,21609416,650384,364355
55,SK,202312,유,28638916,16143,15918046,4137030,1550461,362974
56,메리츠금융지주,202312,유,4819837,113094,3534551,9895,335736,359820
57,카카오뱅크,202312,유,54488157,2384361,6117694,2048170,478485,354912
58,CJ제일제당,202312,유,11432692,81908,5519420,7547073,283595,343254
59,키움증권,202312,유,43353320,145225,4272557,920178,472386,338378
60,코웨이,202312,유,3641097,40662,2183920,2759019,495587,337248
61,강원랜드,202312,유,4431069,106970,3669721,1387518,283172,335888
62,롯데쇼핑,202312,유,23439306,141444,9428591,8648596,482219,324058
63,LS,202312,유,5847121,161000,4423086,508974,448718,321067
64,흥국화재,202312,유,12031553,325821,1360675,2525438,407770,316147
65,BNK금융지주,202312,유,6968998,1629676,5283937,909,314290,314114
66,금호석유,202312,유,4433758,167456,3215606,4196148,232568,302972
67,롯데손해보험,202312,유,14842983,310336,1256232,1672529,396291,301636
68,HD한국조선해양,202312,유,11774250,353866,11529598,269908,-11583,301457
69,동양생명,202312,유,32895665,806793,2951760,1107842,359159,295746
70,한화손해보험,202312,유,17997699,773695,3405594,4492749,384855,290698
71,코리안리,202312,유,12001188,82684,3301085,5249214,365212,287486
72,한미반도체,202312,유,743388,12716,591752,157081,37841,271234
73,대성홀딩스,202312,유,456191,16089,324929,16550,-6139,266996
74,이마트,202312,유,20127036,139379,10461501,15141873,187951,258790
75,HD현대일렉트릭,202312,유,2459476,180236,1015753,2293237,308671,257484
76,DB하이텍,202312,유,1998100,222556,1728003,1063261,257927,255183
77,대우건설,202312,유,9414343,2078113,3166370,10523988,386393,254987
78,영원무역,202312,유,2414286,22156,1784767,1938195,227265,253669
79,현대엘리베이,202312,유,2566965,212236,1276859,1882525,101128,245124
80,오리온,202312,유,1334301,19768,1154774,1069994,168797,239706
81,팬오션,202312,유,7742918,534570,4656122,3811451,380383,239540
82,미래에셋증권,202312,유,85964525,4101961,9468323,1478276,506999,237915
83,솔루스첨단소재,202312,유,823889,4546,657534,113814,13929,234953
84,넷마블,202312,유,6767920,8595,4834207,797272,-41712,233384
85,한국항공우주,202312,유,7070895,487376,1630397,3798361,253585,231463
86,LG화학,202312,유,34093584,391406,20405212,19947377,-109149,228126
87,금호타이어,202312,유,2842552,1436301,740977,3018445,222690,222603
88,삼성전기,202312,유,8289078,388003,5883994,6812925,124732,219817
89,한진칼,202312,유,3090314,168248,2530038,117434,97303,216982
90,에스엘,202312,유,2150030,23224,1655592,2655511,178183,213685
91,쌍용C&E,202312,유,3213976,50386,1561859,1453801,119272,212402
92,신세계,202312,유,8606940,49226,4037821,1911759,276595,209573
93,종근당,202312,유,1376782,31421,807689,1649641,240785,208856
94,CJ대한통운,202312,유,7497403,114062,3431414,8098438,330671,208607
95,롯데케미칼,202312,유,21153038,213877,12945560,13473083,-212104,204765
96,삼양홀딩스,202312,유,2440021,44342,2012858,215900,61826,202930
97,엔씨소프트,202312,유,4302844,10977,3268452,1614844,126959,202573
98,LS ELECTRIC,202312,유,3085842,150000,1628354,3004306,278438,202528
99,지역난방공사,202312,유,7959752,57894,2088572,3953633,314198,199413
100,E1,202312,유,3897651,34300,1771330,7412943,77767,198442
101,에스원,202312,유,2088711,19000,1555288,2577732,203758,195673
102,JB금융지주,202312,유,3036614,984914,2246623,15107,201629,194400
103,세아제강,202312,유,1535914,14182,997251,1860905,231910,188834
104,아이에스동서,202312,유,3644294,15446,1571918,1405960,296891,188235
105,KG스틸,202312,유,3049988,555311,1817169,3287842,287905,188032
106,BGF리테일,202312,유,3125008,17284,1033380,8131702,241387,184915
107,DGB금융지주,202312,유,4479699,845729,3379994,1532,193747,183076
108,LIG넥스원,202312,유,3805078,110000,1052359,2302922,185313,174962
109,HDC현대산업개발,202312,유,6766791,329537,3081773,4162689,189329,172006
110,현대로템,202312,유,5152963,545711,1620033,3498943,205279,166654
111,롯데정밀화학,202312,유,2472137,129000,2178105,1765762,156373,166350
112,한일시멘트,202312,유,2078164,34631,1471649,1263712,218001,163875
113,한전KPS,202312,유,1585380,9000,1266783,1523031,197516,161849
114,효성첨단소재,202312,유,1442325,22400,828318,662028,104176,159075
115,풍산,202312,유,3316202,140121,1965955,3100555,190310,156305
116,서연이화,202312,유,1459722,13514,873078,1590509,133565,154456
117,DL이앤씨,202312,유,7067076,214597,4029762,5168107,221799,151713
118,두산밥캣,202312,유,3624476,50125,2990263,244737,185316,146062
119,동서,202312,유,1673819,49850,1607953,451271,40009,145058
120,HD현대마린솔루션,202312,유,586881,20000,253956,1145160,185603,143474
121,동국제강,202312,유,3531787,248040,1721361,2632104,235490,142171
122,현대오토에버,202312,유,2598859,13712,1515306,2458959,159304,134957
123,TKG휴켐스,202312,유,1093219,40879,840910,1052689,121230,134748
124,진에어,202312,유,952332,52200,142988,1277222,182163,133862
125,넥스틸,202312,유,635825,13001,436881,619052,155926,129559
126,미래에셋생명,202312,유,33046193,990715,2914264,1513682,166772,125000
127,제주항공,202312,유,1957170,80641,309286,1699321,161782,124028
128,오뚜기,202312,유,2489489,20039,1627503,2872351,159706,120710
129,한솔케미칼,202312,유,1077564,56676,748048,565897,110763,120286
130,삼양식품,202312,유,988416,37665,520960,1098040,154834,116728
131,LX인터내셔널,202312,유,3976286,193800,2318196,3492221,7094,115280
132,넥센타이어,202312,유,3322085,54084,1652295,2084336,119675,115046
133,농심,202312,유,2838340,30413,2173839,2605366,124301,115021
134,휠라홀딩스,202312,유,854655,61115,562852,142687,120447,114639
135,대웅제약,202312,유,1565747,28966,802975,1221951,133407,111502
136,CJ,202312,유,3262587,179047,2854867,235727,132420,110878
137,한화오션,202312,유,13503157,1536794,4044940,7425979,-238505,109832
138,롯데렌탈,202312,유,5862598,183170,1169932,2512699,288142,109669
139,현대지에프홀딩스,202312,유,1539740,78846,1348255,20073,4877,109374
140,현대위아,202312,유,5272768,135975,3190873,7235272,163368,109293
141,한미약품,202312,유,1330469,31405,641189,1096946,129630,109168
142,HD현대건설기계,202312,유,2343773,98504,1378057,2574571,214772,108876
143,SK디앤디,202312,유,2144579,24190,770238,404735,186936,106741
144,롯데칠성,202312,유,3479194,5027,1434634,2757321,195572,104602
145,에어부산,202312,유,1358083,116640,186813,890440,159754,104145
146,휴스틸,202312,유,1149562,56188,852548,617684,61431,104062
147,한세실업,202312,유,1032291,20000,656590,1658426,143591,102893
148,카카오,202312,유,11354868,44535,7183172,2499600,533022,102109
149,LX세미콘,202312,유,1195688,8132,967617,1901445,126624,97316
150,티웨이항공,202312,유,1280489,105163,151632,1349205,137710,96270
151,한화시스템,202312,유,4555434,944597,2243647,2450585,125565,96003
152,효성티앤씨,202312,유,1614788,21638,878239,4453045,108551,95955
153,세방전지,202312,유,1557512,7000,1288107,1357671,95268,95823
154,유한양행,202312,유,2403090,77820,1983711,1809082,57207,93510
155,다우기술,202312,유,1134956,22433,694324,294607,56545,93046
156,동원산업,202312,유,3546203,46483,2161115,1090158,126776,92345
157,영원무역홀딩스,202312,유,668974,6818,632468,110052,94495,92229
158,이노션,202312,유,1171409,20000,749923,664943,27895,91078
159,삼양사,202312,유,2527820,53418,1377884,1998767,65066,91076
160,한화,202312,유,10506541,489550,3399738,7186351,171786,90686
161,해성디에스,202312,유,674949,85000,520653,661771,106622,90438
162,SNT모티브,202312,유,1206010,73116,942080,1114711,120241,90175
163,포스코DX,202312,유,871343,76017,452897,1445326,108626,88527
164,KCC글라스,202312,유,2102806,15971,1496504,1680056,99336,86724
165,효성중공업,202312,유,3416522,46623,1172253,3096376,162295,85935
166,대상,202312,유,2989860,36018,1322615,3394937,90056,84305
167,현대코퍼레이션,202312,유,1466335,66145,574840,4846462,66540,83856
168,다올투자증권,202312,유,4411982,400745,736290,58464,-47096,83726
169,HL만도,202312,유,3808960,46957,1943862,2758148,-44995,83125
170,한섬,202312,유,1729631,12315,1405018,1521511,107350,83114
171,LF,202312,유,1954782,146200,1574579,1272587,55197,82306
172,쿠쿠홈시스,202312,유,847345,2244,710901,676631,86376,82252
173,DL,202312,유,3646636,138710,3107574,111126,91067,82066
174,에이피알,202312,유,275398,3638,198360,524059,104946,81919
175,신성통상,202306,유,1046262,71854,420387,1538381,152641,81111
176,한국자산신탁,202312,유,1048970,61989,863672,209148,104623,78865
177,현대홈쇼핑,202312,유,1850545,60000,1596325,1074345,44894,76744
178,신영증권,202303,유,9592370,82200,1382337,222522,85282,74756
179,HDC,202312,유,2448603,298709,2099307,66648,45599,74724
180,아모레퍼시픽,202312,유,5374184,34525,4839620,2439436,82465,74583
181,대웅,202312,유,514887,29071,488964,116635,65427,74404
182,BGF,202312,유,1578501,95717,1527578,60360,43544,73347
183,동원F&B,202312,유,1475248,19296,779990,1989216,95876,73011
184,덴티움,202312,유,684751,6184,393407,317475,111643,72576
185,빙그레,202312,유,821816,49756,640298,1195327,92603,72036
186,유안타증권,202312,유,15998947,1062544,1558184,492250,122649,71847
187,대한제강,202312,유,917430,24647,749529,955565,74431,71512
188,삼천리,202312,유,3268037,20275,1418359,3880118,78465,70769
189,사조대림,202312,유,844739,45841,508875,1439417,74800,70357
190,LX홀딩스,202312,유,1027104,77746,1007314,98369,66618,69996
191,엔케이,202312,유,201086,39992,172257,57268,-3375,68650
192,KPX케미칼,202312,유,741607,24200,599241,726276,50345,68444
193,한국철강,202312,유,972464,46050,851748,905096,86552,68180
194,GS글로벌,202312,유,912087,206334,382741,3425929,73793,66798
195,TYM,202312,유,810885,112627,382519,706580,47105,66682
196,성신양회,202312,유,1168770,128509,532386,758276,50657,66479
197,카카오페이,202312,유,3287180,67133,2081247,555635,32828,66103
198,아세아제지,202312,유,810407,44783,733172,531152,68522,64690
199,퍼시스,202312,유,603889,14300,545268,331576,33204,64672
200,무학,202312,유,629502,5700,534404,142746,17064,64067
201,미원상사,202312,유,424700,6662,359947,412425,67028,63977
202,대한전선,202312,유,1742949,124447,933022,2606311,63372,62150
203,더블유게임즈,202312,유,752345,9187,686535,184301,58405,60129
204,화신,202312,유,907608,17460,441459,957106,38849,59596
205,롯데웰푸드,202312,유,3835009,4717,2039524,3300752,130507,59492
206,신도리코,202312,유,1046071,50400,972444,377910,19848,58998
207,SK오션플랜트,202312,유,1374460,29598,696849,906020,69757,57475
208,NICE평가정보,202312,유,469306,30357,360299,419498,66321,56906
209,신세계인터내셔날,202312,유,1148775,35700,746666,1187165,35132,55546
210,현대차증권,202312,유,10972537,193776,1269922,251885,65447,54036
211,대한제분,202312,유,958942,8450,807632,490292,37960,53543
212,제이에스코퍼레이션,202312,유,503815,1334,230521,285074,41317,53196
213,OCI,202312,유,1990471,37184,983528,1288826,57451,52204
214,고려제강,202312,유,1411809,25000,1225945,516986,45764,51705
